#2012-04-20T06:08:53NZST
#System Version : jpf-1.0.2
#Source Packages: org.java.plugin
#Ignore Packages: 
#Distributed    : source,source-boot,source-tools
#Source Roots   : source,source-boot,source-tools
#1. Fully-qualified type name
#2. location in bin
#3. location in src
#4. 0=in src pkg (user-defined), 1=not in src pkg. See 'Source Packages' above
#5. 0=both bin and src, 1=bin only, 2=src only
#6. 0=distributed, 1 = not distributed. Source code in 'Distributed' above
#7. 0=top-level public, 4=top-level non-public, 1=top-level different name, 2=nested, 3=probably haven't seen source, -1 no source, or not parsed
#8. LOC - physical lines in file (for public type only)
#9. NCLOC - non-commented lines of code in file (for public type only)
#
org.java.plugin.tools.PluginArchiver$2	jpf-tools.jar	source-tools/org/java/plugin/tools/PluginArchiver.java	0	0	0	2	0	0
org.java.plugin.tools.PluginArchiver$3	jpf-tools.jar	source-tools/org/java/plugin/tools/PluginArchiver.java	0	0	0	2	0	0
org.java.plugin.tools.PluginArchiver$ArchiveDescriptorEntry	jpf-tools.jar	source-tools/org/java/plugin/tools/PluginArchiver.java	0	0	0	2	0	0
org.java.plugin.tools.PluginArchiver$Filter	jpf-tools.jar	source-tools/org/java/plugin/tools/PluginArchiver.java	0	0	0	2	0	0
org.java.plugin.tools.Util	jpf-tools.jar	source-tools/org/java/plugin/tools/Util.java	0	0	0	4	85	57
org.java.plugin.registry.xml.BaseHandler	jpf.jar	source/org/java/plugin/registry/xml/BaseHandler.java	0	0	0	4	110	62
org.java.plugin.registry.xml.DocumentationImpl	jpf.jar	source/org/java/plugin/registry/xml/DocumentationImpl.java	0	0	0	4	134	75
org.java.plugin.registry.xml.DocumentationImpl$ReferenceImpl	jpf.jar	source/org/java/plugin/registry/xml/DocumentationImpl.java	0	0	0	2	0	0
org.java.plugin.registry.xml.ExtensionImpl	jpf.jar	source/org/java/plugin/registry/xml/ExtensionImpl.java	0	0	0	4	685	534
org.java.plugin.registry.xml.ExtensionImpl$ParameterImpl	jpf.jar	source/org/java/plugin/registry/xml/ExtensionImpl.java	0	0	0	2	0	0
org.java.plugin.registry.xml.ExtensionPointImpl	jpf.jar	source/org/java/plugin/registry/xml/ExtensionPointImpl.java	0	0	0	4	643	490
org.java.plugin.registry.xml.ExtensionPointImpl$ParameterDefinitionImpl	jpf.jar	source/org/java/plugin/registry/xml/ExtensionPointImpl.java	0	0	0	2	0	0
org.java.plugin.registry.xml.IdentityImpl	jpf.jar	source/org/java/plugin/registry/xml/IdentityImpl.java	0	0	0	4	80	38
org.java.plugin.registry.xml.IntegrityChecker	jpf.jar	source/org/java/plugin/registry/xml/IntegrityChecker.java	0	0	0	4	270	206
